Ambulance Service Coverage Area,Reporting Year,Population Estimate,Land Area (km2),Population Density (Per km2),Average Response Time
Kawartha Lakes,2020,80516,3083,26.1,8 min 35 sec
Kenora,2020,66646,406834,0.2,13 min 0 sec
Lambton (Urban),2020,132243,3002,44.1,6 min 31 sec
Lanark,2020,72883,3034,24,7 min 32 sec
Leeds and Grenville,2020,104722,3384,30.9,8 min 22 sec
Lennox and Addington,2020,44676,2841,15.7,8 min 58 sec
Manitoulin-Sudbury,2020,35707,43313,0.8,12 min 2 sec
Middlesex,2020,504689,3295,153.2,5 min 58 sec
Muskoka,2020,66268,3938,16.8,8 min 56 sec
Naotkamegwanning First Nations (Whitefish Bay),2020,605,19,32.2,8 min 23 sec
Niagara,2020,479183,1854,258.4,6 min 01 sec
Nipissing,2020,86808,17104,5.1,7 min 10 sec
Norfolk,2020,69027,1608,42.9,6 min 57 sec
Northumberland,2020,90039,1905,47.3,8 min 5 sec
Oneida Nation of the Thames,2020,1319,22,59.5,7 min 0 sec
Ottawa,2020,1028514,2790,368.6,7 min 5 sec
Oxford,2020,120479,2040,59.1,6 min 12 sec
Parry Sound,2020,45052,9323,4.8,12 min 5 sec
Peel,2020,1541994,1247,1236.7,6 min 45 sec
Perth,2020,82146,2218,37,6 min 32 sec
Peterborough,2020,147890,3848,38.4,7 min 21 sec
Prescott and Russell,2020,94950,2004,47.4,8 min 3 sec
Prince Edward,2020,25406,1050,24.2,10 min 43 sec
Rainy River ,2020,20964,15485,1.4,12 min 1 sec
Renfrew,2020,106727,7441,14.3,8 min 59 sec
Sault Ste. Marie,2020,74989,223,335.9,6 min 7 sec
Simcoe,2020,526695,4796,109.8,7 min 41 sec
Six Nations of the Grand River,2020,6911,188,36.8,8 min 30 sec
Sudbury,2020,168933,3238,52.2,6 min 6 sec
District of Thunder Bay,2020,151892,103720,1.5,7 min 54 sec
Timiskaming (Urban),2020,32968,13300,2.5,7 min 41 sec
Toronto,2020,2965713,630,4705.9,6 min 37 sec
Waterloo,2020,595465,1369,435,6 min 26 sec
Weeneebayko Area Health Authority,2020,17500,15000,1.2,5 min 45 sec
York,2020,1181485,1762,670.5,7 min 5 sec
Algoma,2019,42866,48587,0.9,8 min 57 sec 
Beausoleil First Nation,2019,718,52,13.7,8 min 18 sec 
Brant,2019,142419,936,152.2,6 min 39 sec 
Bruce,2019,72212,4093,17.6,10 min 16 sec
Chatham-Kent,2019,105877,2471,42.9,6 min 18 sec 
Chippewas of Rama First Nation,2019,916,11,85.6,5 min 3 sec 
Cochrane,2019,77287,140566,0.5,5 min 49 sec 
Cornwall,2019,117462,3309,35.5,8 min 35 sec 
Dufferin,2019,66482,1486,44.7,6 min 19 sec 
Durham,2019,683604,2524,270.9,6 min 27 sec 
Elgin,2019,93803,1881,49.9,6 min 59 sec 
Essex,2019,423236,1851,228.7,6 min 19 sec 
Frontenac,2019,161558,3788,42.7,7 min 11 sec 
Grey,2019,99455,4513,22,7 min 15 sec 
Wellington,2019,237028,2660,89.1,7 min 0 sec 
Haldimand,2019,48849,1257,38.9,7 min 52 sec 
Haliburton,2019,19260,4072,4.7,12 min 3 sec 
Halton,2019,580014,964,601.7,6 min 21 sec 
Hamilton,2019,567979,1117,508.4,6 min 29 sec 
Hastings,2019,143834,6103,23.6,8 min 28 sec 
Huron,2019,61835,3400,18.2,8 min 16 sec 
Kawartha Lakes,2019,79667,3083,25.8,8 min 14 sec 
Kenora,2019,66234,406834,0.2,12 min 0 sec 
Lambton (Urban),2019,130895,3002,43.6,6 min 19 sec 
Lanark,2019,71470,3034,23.6,7 min 59 sec 
Leeds and Grenville,2019,103798,3384,30.7,8 min 28 sec 
Lennox and Addington,2019,44392,2841,15.6,9 min 9 sec 
Manitoulin-Sudbury,2019,35932,43313,0.8,12 min 21 sec 
Middlesex,2019,492644,3295,149.5,5 min 59 sec 
Muskoka,2019,65024,3938,16.5,8 min 41 sec 
Naotkamegwanning First Nations (Whitefish Bay),2019,602,19,32.1,7 min 24 sec 
Niagara,2019,472448,1854,254.8,6 min 30 sec 
Nipissing,2019,86836,17104,5.1,7 min 24 sec 
Norfolk,2019,67661,1608,42.1,6 min 40 sec 
Northumberland,2019,90045,1905,47.3,7 min 58 sec 
Oneida Nation of the Thames,2019,1287,22,58.1,7 min 11 sec 
Ottawa,2019,1007501,2790,361.1,6 min 55 sec 
Oxford,2019,118552,2040,58.1,6 min 23 sec 
Parry Sound,2019,44438,9323,4.8,11 min 56 sec 
Peel,2019,1477196,1247,1184.7,6 min 42 sec 
Perth,2019,81019,2218,36.5,6 min 49 sec 
Peterborough,2019,147853,3848,38.4,7 min 3 sec 
Prescott and Russell,2019,93432,2004,46.6,8 min 18 sec 
Prince Edward,2019,25282,1050,24.1,10 min 20 sec 
Rainy River ,2019,21037,15485,1.4,11 min0 sec 
Renfrew,2019,106423,7441,14.3,8 min 41 sec 
Sault Ste. Marie,2019,74608,223,334.2,5 min 53 sec 
Simcoe,2019,517501,4796,107.9,7 min 45 sec 
Six Nations of the Grand River,2019,6829,188,36.3,7 min 46 sec 
Sudbury,2019,168261,3238,52,5 min 55 sec 
District of Thunder Bay,2019,151101,103720,1.5,7 min 22 sec 
Timiskaming (Urban),2019,32990,13300,2.5,7 min 25 sec 
Toronto,2019,2956024,630,4690.5,6 min 33 sec 
Waterloo,2019,579145,1369,423.1,6 min 26 sec 
Weeneebayko Area Health Authority,2019,17500,15000,1.2,5 min 36 sec
York,2019,1150956,1762,653.1,6 min 47 sec 
Algoma,2018,42866,48587,0.9,8 min 11 sec
Beausoleil First Nation,2018,718,52,13.7,6 min 30 sec
Brant,2018,142419,936,152.2,6 min 45 sec
Bruce,2018,72212,4093,17.6,10 min 25 sec
Chatham-Kent,2018,105877,2471,42.9,6 min 46 sec
Chippewas of Rama First Nation,2018,916,11,85.6,4 min 47 sec
Cochrane,2018,77287,140566,0.5,5 min 54 sec
Cornwall,2018,117462,3309,35.5,8 min 9 sec
Dufferin,2018,66482,1486,44.7,6 min 33 sec
Durham,2018,683604,2524,270.9,6 min 10 sec
Elgin,2018,93803,1881,49.9,6 min 42 sec
Essex,2018,423236,1851,228.7,6 min 20 sec
Frontenac,2018,161558,3788,42.7,7 min 7 sec
Grey,2018,99455,4513,22,7 min 12 sec
Wellington,2018,237028,2660,89.1,6 min 47 sec
Haldimand,2018,48849,1257,38.9,7 min 53 sec
Haliburton,2018,19260,4072,4.7,12 min 43 sec
Halton,2018,580014,964,601.7,6 min 27 sec
Hamilton,2018,567979,1117,508.4,6 min 30 sec
Hastings,2018,143834,6103,23.6,8 min 27 sec
Huron,2018,61835,3400,18.2,8 min 5 sec
Kawartha Lakes,2018,79667,3083,25.8,8 min 29 sec
Kenora,2018,66234,406834,0.2,11 min 58 sec
Lambton (Urban),2018,130895,3002,43.6,6 min 26 sec
Lanark,2018,71470,3034,23.6,7 min 40 sec
Leeds and Grenville,2018,103798,3384,30.7,8 min 50 sec
Lennox and Addington,2018,44392,2841,15.6,9 min 19 sec
Manitoulin-Sudbury,2018,35932,43313,0.8,12 min 19 sec
Middlesex,2018,492644,3295,149.5,6 min 0 sec
Muskoka,2018,65024,3938,16.5,8 min 41 sec
Naotkamegwanning First Nations (Whitefish Bay),2018,602,19,32.1,7 min 7 sec
Niagara,2018,472448,1854,254.8,6 min 40 sec
Nipissing,2018,86836,17104,5.1,7 min 26 sec
Norfolk,2018,67661,1608,42.1,6 min 47 sec
Northumberland,2018,90045,1905,47.3,7 min 57 sec
Oneida Nation of the Thames,2018,1287,22,58.1,6 min 28 sec
Ottawa,2018,1007501,2790,361.1,6 min 31 sec
Oxford,2018,118552,2040,58.1,6 min 45 sec
Parry Sound,2018,44438,9323,4.8,11 min 57 sec
Peel,2018,1477196,1247,1184.7,7 min 5 sec
Perth,2018,81019,2218,36.5,6 min 57 sec
Peterborough,2018,147853,3848,38.4,7 min 4 sec
Prescott and Russell,2018,93432,2004,46.6,8 min 18 sec
Prince Edward,2018,25282,1050,24.1,10 min 10 sec
Rainy River ,2018,21037,15485,1.4,11 min 9 sec
Renfrew,2018,106423,7441,14.3,8 min 53 sec
Sault Ste. Marie,2018,74608,223,334.2,5 min 43 sec
Simcoe,2018,517501,4796,107.9,7 min 44 sec
Six Nations of the Grand River,2018,6829,188,36.3,7 min 41 sec
Sudbury,2018,168261,3238,52,5 min 53 sec
District of Thunder Bay,2018,151101,103720,1.5,7 min 4 sec
Timiskaming (Urban),2018,32990,13300,2.5,7 min 40 sec
Toronto,2018,2956024,630,4690.5,6 min 18 sec
Waterloo,2018,579145,1369,423.1,6 min 30 sec
Weeneebayko Area Health Authority,2018,17500,15000,1.2,5 min 28 sec
York,2018,1150956,1762,653.1,7 min 2 sec
Algoma,2017,41227,48587,0.8,8 min 24 sec 
Beausoleil First Nation,2017,1392,52,26.7,6 min 15 sec 
